Posicion,Nombre,Puntos Totales,Media,PJ,Ultimos puntos
MC,Jude Bellingham,170,10,17,2214106
DL,Williams,144,8,18,-61099
MC,Kubo,136,7.6,18,666146
MC,Aleix García,126,6.6,19,26666
MC,Pepelu,126,6.6,19,166622
DL,Artem Dovbyk,125,6.9,18,6916132
DL,Griezmann,123,6.5,19,216-226
DL,Mayoral,122,6.4,19,216992
DL,Sávio,121,6.4,19,96666
MC,Isco,120,6.7,18,6-662
PT,Álvaro Valles,118,6.2,19,6101066
DL,Budimir,113,5.9,19,9-2296
MC,Valverde,112,5.9,19,610626
MC,Kirian Rodríguez,112,6.2,18,6-21010
MC,Zubimendi,106,5.6,19,1066106
DL,Bryan Zaragoza,106,5.9,18,13266-2
DL,Rodrygo,103,5.4,19,221369
DL,Strand Larsen,103,5.4,19,699-29
DF,Carvajal,102,7.3,14,2---6
DL,Nico Williams,101,6.3,16,661369
DF,Yan Couto,101,5.6,18,10610610
MC,Kroos,98,5.2,19,266610
DL,Guruzeta,98,5.2,19,2213613
MC,Iván Martín,98,5.4,18,1466102
DL,Morata,97,5.4,18,199-25-2
DL,Chris Ramos,97,5.1,19,26929
DF,David López,96,6.4,15,-26102
MC,Samú Costa,94,4.9,19,661022
DF,Dani Vivian,94,4.9,19,66666
PT,Unai Simón,94,4.9,19,66622
DF,Miguel Gutiérrez,93,5.2,18,266156
DL,Ayoze Pérez,92,5.1,18,66622
MC,Brais Méndez,90,5.3,17,22-22
DF,Lejeune,90,4.7,19,26662
PT,Filip Jörgensen,90,4.7,19,66-266
DL,Oyarzabal,89,4.9,18,222-2
MC,Gündogan,89,4.7,19,9221010
DF,Rüdiger,89,4.9,18,156666
MC,Mikel Merino,88,5.5,16,222146
DL,Isi Palazón,88,4.6,19,66622
PT,Remiro,88,4.6,19,-8106102
DL,Stuani,88,4.9,18,22-1316
MC,Gavi,88,7.3,12,-----
DL,Samu Omorodion,87,4.8,18,22262
MC,Yangel Herrera,86,5.7,15,----2
DL,Ocampos,86,4.8,18,29-262
DF,Pezzella,85,4.7,18,211662
MC,Rubén Alcaraz,84,4.7,18,26626
MC,Jon Guridi,84,4.7,18,62266
PT,Giorgi Mamardashvili,82,4.3,19,26666
DL,Lamine Yamal,81,4.3,19,22226
DF,Eric García,81,5.1,16,2261010
DF,Sergi Cardona,80,4.4,18,66-66
DL,Rioja,80,4.2,19,92222
DL,Gerard Moreno,79,4.9,16,5--222
DL,Mason Greenwood,79,5.3,15,-210926
DL,Hugo Duro,79,4.2,19,62229
DF,Mingueza,79,4.2,19,662-26
MC,Modric,78,4.9,16,62146-
MC,Sergio Arribas,78,4.1,19,22266
MC,Maksimovic,78,4.1,19,66662
MC,Sancet,77,4.5,17,62666
DL,Vedat Muriqi,76,6.3,12,-----
MC,Javier Guerra,76,4.5,17,2---42
PT,Ledesma,76,4.8,16,2-66-
DL,Ferran Torres,76,4.2,18,96222
DF,Mika Mármol,75,4.4,17,661066
DF,Hamari Traoré,74,3.9,19,62662
DL,Álvaro García,74,4.4,17,-2262
PT,Dimitrievski,74,3.9,19,2262-2
DL,Largie Ramazani,74,3.9,19,222-6
DL,Tsygankov,73,5.2,14,---66
DF,Saúl Coco,73,4.6,16,66666
DL,Fran Pérez,73,3.8,19,62222
DF,Cancelo,72,4.5,16,-2222
MC,Ruiz de Galarreta,72,5.1,14,6--66
MC,Fermín López,72,5.5,13,66-6-
DL,Myrto Uzuni,72,3.8,19,9222-2
DF,Fali,72,4,18,66226
DF,Ronald Araújo,71,5.5,13,22226
DF,Aitor Paredes,71,3.7,19,112622
MC,Darder,70,4.1,17,22226
PT,Paulo Gazzaniga,70,3.7,19,662102
PT,David Soria,70,3.7,19,-22622
DF,Le Normand,69,4.3,16,266-6
DF,Gastón Álvarez,69,4.1,17,22662
MC,Marc Roca,68,3.8,18,26662
DF,Diego Rico,68,4.9,14,2210-2
DL,Sørloth,68,4.3,16,-6-2--
DL,Willian José,68,4.3,16,22222
MC,Barrenetxea,68,4.5,15,6----
DL,Portu,68,3.8,18,62966
DL,Brahim Díaz,67,4.8,14,6613213
DF,Pedrosa,67,3.9,17,611266
MC,Óscar Valentín,67,3.9,17,6-62-2
PT,Ter Stegen,66,5.1,13,-----
PT,Rajkovic,66,3.5,19,622102
MC,Gumbau,66,3.9,17,-2262
DF,Daley Blind,65,3.4,19,726106
DL,Abdón Prats,65,4.1,16,-22226
DL,Vinícius Jr,64,5.8,11,2----
DL,Iago Aspas,64,3.6,18,9--422
MC,Samuel Lino,64,4.3,15,-222-26
