Equipo,Jugador,Lesion
Alavés,Aleksandar Sedlar,Rotura del ligamento cruzado con rotura parcial del menisco interno
Almería,César Montes,Golpe en la rodilla
Almería,Arnau Puigmal,Lesión en la parte posterior del muslo derecho
Almería,Ibrahima Koné,Fractura en el tobillo derecho
Athletic,Ruiz de Galarreta,Molestias musculares
Athletic,Dani García,Recuperación de lesión muscular en el recto femoral de su pierna derecha
Athletic,Vesga,Molestias en la musculatura isquiosural de su pierna izquierda
Athletic,de Marcos,Lesión en el recto femoral de su pierna izquierda
Atlético,Lemar,Rotura del tendón de Aquiles derecho
Atlético,Azpilicueta,Rotura del menisco externo
Barcelona,Raphinha,Lesión muscular en el bíceps femoral del muslo izquierdo
Barcelona,Gavi,Rotura completa del ligamento cruzado anterior de la rodilla derecha y lesión asociada al menisco externo
Barcelona,Ter Stegen,Problemas lumbares
Barcelona,Iñigo Martínez,Lesión en el bíceps femoral de la pierna izquierda
Barcelona,Marcos Alonso,Operación de lumbalgia
Betis,Juan Miranda,Pinchazo en el gemelo
Betis,Carvalho,Molestia en los isquiotibiales
Betis,Ayoze Pérez,Esguince de ligamentos y sindesmosis anterolateral en el tobillo derecho.
Betis,Sabaly,Esguince grado II del ligamento lateral interno de la rodilla derecha
Betis,Bravo,Recuperación de lesión miotendinosa proximal de la musculatura isquiotibial izquierda
Betis,Ruibal,Edema en compartimento externo de la rodilla derecha asociado a una lesión meniscal externa
Betis,Guido Rodríguez,Fractura distal del peroné de su pierna derecha
Betis,Bartra,lesión parcial en el tendón de Aquiles
Cádiz CF,Roger,Fractura en el peroné y afectación de los ligamentos internos del tobillo
Cádiz CF,San Emeterio,Rotura del ligamento cruzado
Cádiz CF,Luis Hernández,Lesión en la rodilla
Cádiz CF,Javi Hernández,Lesión en el sóleo
Cádiz CF,Darwin Machís,Rotura en los isquiotibiales
Celta,Strand Larsen,Golpe
Celta,Franco Cervi,Rotura fibrilar bíceps femoral izquierdo
Celta,Aidoo,Rotura del tendón de Aquiles izquierdo
Getafe,Arambarri,Rotura parcial del menisco externo y ligamento cruzado anterior
Girona,Juanpe,Lesión en el sóleo
Girona,David López,Lesión en el músculo tibial de la pierna derecha
Girona,Joel Roca,Rotura de ligamentro cruzado y menisco
Girona,Toni Villa,Lesión de ligamento cruzado anterior
Granada,Jesús Vallejo,Molestias sin determinar
Granada,Kamil Piatkowski,Molestias musculares
Granada,Raúl Fernández,Lumbalgia
Las Palmas,Daley Sinkgraven,Esguince de tobillo
Las Palmas,Álvaro Lemos,Lesión en el tobillo
Las Palmas,Eric Curbelo,Molestias físicas
Mallorca,Cuéllar,Molestias en la rodilla
Mallorca,Maffeo,Lesión en el menisco interno de la rodilla derecha
Osasuna,Chimy Ávila,Molestias en el gemelo
Rayo Vallecano,Kike Pérez,Lesión muscular
Real Madrid,Courtois,Rotura del ligamento cruzado anterior de la rodilla izquierda
Real Madrid,Militão,Rotura del ligamento cruzado de la rodilla derecha
Real Madrid,David Alaba,Rotura del ligamento cruzado anterior de la rodilla izquierda
Real Sociedad,Zubimendi,Molestias físicas
Real Sociedad,Carlos Fernández,Molestias en la rodilla
Real Sociedad,Barrenetxea,Molestias sin determinar
Real Sociedad,Aihen Muñoz,Rotura de ligamento cruzado anterior
Real Sociedad,Merquelanz,Lesión osteocondral de la rodilla izquierda
Real Sociedad,Odriozola,Rotura fibrilar
Sevilla,Loïc Badé,Sobrecarga muscular
Sevilla,Acuña,Lesión de bajo grado en el muslo derecho
Sevilla,Dodi Lukébakio,Esguince de alto grado en el ligamento lateral interno de la rodilla derecha
Sevilla,Gudelj,Rotura de menisco externo en su rodilla izquierda
Sevilla,Kike Salas,Lesión miotendinosa en el isquiotibial derecho
Valencia,Alberto Mari,Molestias en el muslo
Valencia,Sergi Canós,Lesión de la parte posterior del muslo izquierdo
Valencia,André Almeida,Fractura con desplazamiento en una vértebra
Villarreal,Albiol,Lesión muscular
Villarreal,Pedraza,Esguince del tobillo derecho asociado a daño condral en articulación tibioastragalina
Villarreal,Ramón Terrats,Rotura en el menisco exterior
Villarreal,Foyth,Intervención quirúrgica en el hombro derecho
Villarreal,Denis Suárez,Rotura muscular con afectación del recto femoral de la pierna izquierda.
Villarreal,Parejo,Esguince del ligamento colateral interno de la rodilla derecha
Villarreal,Yéremy Pino,Rotura del ligamento cruzado anterior
