Nombre,Equipo,Precio,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
Bellingham,Real Madrid,99.113.111,142,13,1025,11,2,1,1,6,24,18,59,136,0,8,0,0,0,1,0,0,0,0
Aleix García,Girona FC,72.562.139,130,14,1260,3,4,5,38,27,3,5,102,160,0,17,0,0,0,1,0,0,0,0
Iñaki Williams,Athletic Club,54.811.201,113,15,1233,6,3,6,12,13,21,22,70,235,0,16,0,0,0,2,0,0,0,0
Griezmann,Atlético de Madrid,85.589.829,112,13,1071,9,1,3,16,6,14,14,46,164,0,11,0,0,0,3,0,0,0,0
Isco,Real Betis,77.507.740,110,14,1144,2,2,7,33,2,28,15,68,245,0,15,0,0,0,4,0,0,0,0
sávio,Girona FC,70.553.292,108,14,1137,4,4,5,10,2,32,9,81,197,0,15,0,0,0,1,0,0,0,0
Kubo,Real Sociedad,67.921.009,105,14,970,5,2,7,14,1,16,10,52,162,0,12,0,0,0,0,0,0,0,0
Rodrygo,Real Madrid,61.745.345,105,14,969,5,4,2,7,1,28,16,36,129,1,9,0,0,0,0,0,1,0,0
Valverde,Real Madrid,66.847.159,103,14,1118,1,2,4,2,9,12,7,85,119,0,6,0,0,0,1,0,1,0,0
Dimitrievski,Rayo Vallecano,18.993.505,102,14,1260,0,0,0,0,13,1,0,114,183,0,18,0,55,0,1,0,0,1,0
Valles,UD Las Palmas,23.300.238€,101,13,1047,4,4,5,8,2,30,9,71,183,0,14,0,0,0,1,0,0,0,0
Gerard,Villarreal CF,59.534.227€,100,14,1260,0,0,0,0,12,0,0,180,240,0,18,0,48,1,2,0,0,1,0
David Soria,Getafe CF,22.317.581€,99,14,1144,5,3,5,10,12,19,20,63,217,0,15,0,0,0,2,0,0,0,0
Remiro,Real Sociedad,26.829.882€,97,14,1260,0,0,0,0,20,0,0,104,127,0,17,0,48,0,1,0,0,0,0
Gazzaniga,Girona FC,22.390.408€,94,14,801,1,4,4,23,4,1,10,55,87,0,8,0,0,0,2,0,0,0,0
Kroos,Real Madrid,47.421.229€,92,13,1045,2,2,2,3,13,6,7,72,139,0,5,0,0,0,1,0,0,0,0
Nico Williams,Athletic Club,67.608.305€,91,14,1260,0,0,0,0,11,0,0,121,112,0,25,0,67,1,1,0,0,0,0
Unai Simón,Athletic Club,21.845.398€,91,14,1085,8,1,1,5,10,14,16,32,127,0,13,0,0,0,2,0,1,0,0
Carvajal,Real Madrid,49.469.101€,90,13,1159,0,0,0,0,17,1,0,144,195,0,20,0,52,0,0,0,0,0,0
Jörgensen,Villarreal CF,16.927.665€,90,13,1170,0,0,0,0,7,0,0,80,35,0,13,0,32,0,1,0,0,0,0
Borja Mayoral,Getafe CF,24.693.328€,89,14,1170,0,0,0,0,6,0,0,123,182,0,17,0,46,0,2,0,0,1,0
Ledesma,Cádiz CF,18.451.626€,89,13,1170,0,0,1,0,5,1,0,103,125,0,16,0,40,0,2,0,0,0,0
Ter Stegen,FC Barcelona,28.301.245€,89,14,1053,4,1,3,0,6,24,12,77,137,0,13,0,0,0,1,0,0,0,0
Ayoze Pérez,Real Betis,44.290.879€,88,14,1235,2,0,1,17,26,7,5,106,185,0,17,0,0,0,2,0,0,0,0
Pepelu,Valencia CF,35.512.140€,87,14,1087,1,4,9,27,3,13,13,40,176,2,17,0,0,0,4,0,0,0,0
Yangel Herrera,Girona FC,47.952.703€,85,11,729,1,5,6,17,2,26,5,49,154,0,11,0,0,0,1,0,2,0,0
Aspas,RC Celta,39.721.690€,84,13,1170,0,0,0,0,9,1,0,81,82,0,12,0,33,0,1,0,0,0,0
Oblak,Atlético de Madrid,22.918.949€,84,13,1001,4,0,2,5,26,12,8,74,116,0,13,0,0,0,4,0,1,0,0
Gundogan,FC Barcelona,49.090.201€,84,13,1047,1,3,5,18,5,11,4,77,153,0,13,0,0,0,2,0,0,0,0
Lewandowski,FC Barcelona,71.119.326€,83,12,927,7,3,2,1,4,6,16,17,121,0,10,0,0,0,3,0,1,0,0
Dovbyk,Girona FC,39.670.275€,82,12,704,6,4,4,0,5,4,15,5,61,0,10,0,0,0,0,0,0,0,0
Mamardashvili,Valencia CF,13.248.664€,81,14,1260,0,0,0,0,11,0,0,105,157,0,18,0,36,1,1,0,0,1,0
Rakitić,Sevilla FC,30.792.712€,81,13,998,2,1,3,36,8,8,6,89,214,0,14,0,0,0,3,0,0,0,0
Zubimendi,Real Sociedad,34.015.356€,81,14,1157,2,1,1,0,24,3,4,97,116,0,15,0,0,0,2,0,0,0,0
Koundé,FC Barcelona,50.943.080€,80,13,846,1,1,1,5,37,6,4,56,73,0,9,0,0,0,0,0,0,0,0
Pezzella,Real Betis,23.278.289€,80,14,1140,0,0,0,0,68,2,2,96,103,0,11,0,0,0,3,0,0,0,0
Rioja,Deportivo Alavés,13.359.455€,78,14,1108,1,3,6,19,12,16,10,66,187,0,15,0,0,0,3,0,1,0,0
Witsel,Atlético de Madrid,29.628.561€,78,12,1010,1,0,1,0,37,0,2,66,63,0,9,0,0,0,0,0,0,0,0
Oyarzabal,Real Sociedad,33.474.798€,78,14,883,7,1,1,1,5,2,14,30,83,0,9,0,0,0,1,0,0,0,0
Hugo Duro,Valencia CF,23.703.098€,78,14,1140,6,2,3,0,7,7,13,36,105,0,16,0,0,0,1,0,1,0,0
Guruzeta,Athletic Club,26.824.398€,77,12,903,7,1,1,1,13,6,15,24,81,0,8,0,0,0,1,1,1,0,0
Morata,Atlético de Madrid,50.006.363€,77,13,937,5,2,2,16,0,33,16,40,185,0,26,0,0,0,5,0,1,0,0
Bryan,Granada CF,29.320.763€,76,13,1133,0,1,0,4,40,4,2,98,132,0,11,0,0,0,4,0,0,0,0
Hermoso,Atlético de Madrid,24.229.082€,76,14,1178,2,1,1,8,6,26,12,65,176,0,21,0,0,0,0,0,0,0,0
Bamba,RC Celta,18.214.246€,76,14,971,7,1,2,1,3,4,16,26,113,0,20,0,0,0,3,0,2,0,0
