Jornada,Fecha,Equipo Local,Resultado,Equipo Visitante
1,11 - 14 Ago.,Almería,0 - 2,Rayo
1,11 - 14 Ago.,Sevilla,1 - 2,Valencia
1,11 - 14 Ago.,R. Sociedad,1 - 1,Girona
1,11 - 14 Ago.,Las Palmas,1 - 1,Mallorca
1,11 - 14 Ago.,Athletic,0 - 2,Real Madrid
1,11 - 14 Ago.,Celta,0 - 2,Osasuna
1,11 - 14 Ago.,Villarreal,1 - 2,Betis
1,11 - 14 Ago.,Getafe,0 - 0,Barcelona
1,11 - 14 Ago.,Cádiz,1 - 0,Alavés
1,11 - 14 Ago.,Atlético,3 - 1,Granada
2,18 - 21 Ago.,Mallorca,0 - 1,Villarreal
2,18 - 21 Ago.,Valencia,1 - 0,Las Palmas
2,18 - 21 Ago.,R. Sociedad,1 - 1,Celta
2,18 - 21 Ago.,Almería,1 - 3,Real Madrid
2,18 - 21 Ago.,Osasuna,0 - 2,Athletic
2,18 - 21 Ago.,Girona,3 - 0,Getafe
2,18 - 21 Ago.,Barcelona,2 - 0,Cádiz
2,18 - 21 Ago.,Betis,0 - 0,Atlético
2,18 - 21 Ago.,Alavés,4 - 3,Sevilla
2,18 - 21 Ago.,Granada,0 - 2,Rayo
3,25 - 28 Ago.,Las Palmas,0 - 0,R. Sociedad
3,25 - 28 Ago.,Celta,0 - 1,Real Madrid
3,25 - 28 Ago.,Cádiz,1 - 1,Almería
3,25 - 28 Ago.,Granada,3 - 2,Mallorca
3,25 - 28 Ago.,Sevilla,1 - 2,Girona
3,25 - 28 Ago.,Villarreal,3 - 4,Barcelona
3,25 - 28 Ago.,Valencia,1 - 2,Osasuna
3,25 - 28 Ago.,Athletic,4 - 2,Betis
3,25 - 28 Ago.,Getafe,1 - 0,Alavés
3,25 - 28 Ago.,Rayo,0 - 7,Atlético
4,01 Sept. - 23 Dic.,Cádiz,3 - 1,Villarreal
4,01 Sept. - 23 Dic.,Almería,2 - 3,Celta
4,01 Sept. - 23 Dic.,R. Sociedad,5 - 3,Granada
4,01 Sept. - 23 Dic.,Real Madrid,2 - 1,Getafe
4,01 Sept. - 23 Dic.,Alavés,1 - 0,Valencia
4,01 Sept. - 23 Dic.,Betis,1 - 0,Rayo
4,01 Sept. - 23 Dic.,Girona,1 - 0,Las Palmas
4,01 Sept. - 23 Dic.,Mallorca,0 - 0,Athletic
4,01 Sept. - 23 Dic.,Osasuna,1 - 2,Barcelona
4,01 Sept. - 23 Dic.,Atlético,1 - 0,Sevilla
5,15 - 18 Sept.,Rayo,2 - 0,Alavés
5,15 - 18 Sept.,Athletic,3 - 0,Cádiz
5,15 - 18 Sept.,Valencia,3 - 0,Atlético
5,15 - 18 Sept.,Celta,0 - 1,Mallorca
5,15 - 18 Sept.,Barcelona,5 - 0,Betis
5,15 - 18 Sept.,Getafe,3 - 2,Osasuna
5,15 - 18 Sept.,Villarreal,2 - 1,Almería
5,15 - 18 Sept.,Sevilla,1 - 0,Las Palmas
5,15 - 18 Sept.,Real Madrid,2 - 1,R. Sociedad
5,15 - 18 Sept.,Granada,2 - 4,Girona
6,22 - 24 Sept.,Alavés,0 - 2,Athletic
6,22 - 24 Sept.,Girona,5 - 3,Mallorca
6,22 - 24 Sept.,Osasuna,0 - 0,Sevilla
6,22 - 24 Sept.,Barcelona,3 - 2,Celta
6,22 - 24 Sept.,Almería,2 - 2,Valencia
6,22 - 24 Sept.,R. Sociedad,4 - 3,Getafe
6,22 - 24 Sept.,Rayo,1 - 1,Villarreal
6,22 - 24 Sept.,Las Palmas,1 - 0,Granada
6,22 - 24 Sept.,Betis,1 - 1,Cádiz
6,22 - 24 Sept.,Atlético,3 - 1,Real Madrid
6,26 - 28 Sept.,Sevilla,5 - 1,Almería
6,26 - 28 Sept.,Mallorca,2 - 2,Barcelona
6,26 - 28 Sept.,Real Madrid,2 - 0,Las Palmas
6,26 - 28 Sept.,Athletic,2 - 2,Getafe
6,26 - 28 Sept.,Villarreal,1 - 2,Girona
6,26 - 28 Sept.,Valencia,0 - 1,R. Sociedad
6,26 - 28 Sept.,Cádiz,0 - 0,Rayo
6,26 - 28 Sept.,Celta,1 - 1,Alavés
6,26 - 28 Sept.,Granada,1 - 1,Betis
6,26 - 28 Sept.,Osasuna,0 - 2,Atlético
7,29 Sept. - 02 Oct.,Barcelona,1 - 0,Sevilla
7,29 Sept. - 02 Oct.,Getafe,0 - 0,Villarreal
7,29 Sept. - 02 Oct.,Rayo,2 - 2,Mallorca
7,29 Sept. - 02 Oct.,Girona,0 - 3,Real Madrid
7,29 Sept. - 02 Oct.,R. Sociedad,3 - 0,Athletic
7,29 Sept. - 02 Oct.,Almería,3 - 3,Granada
7,29 Sept. - 02 Oct.,Alavés,0 - 2,Osasuna
7,29 Sept. - 02 Oct.,Atlético,3 - 2,Cádiz
7,29 Sept. - 02 Oct.,Betis,3 - 0,Valencia
7,29 Sept. - 02 Oct.,Las Palmas,2 - 1,Celta
7,06 - 08 Oct.,Athletic,3 - 0,Almería
7,06 - 08 Oct.,Cádiz,0 - 1,Girona
7,06 - 08 Oct.,Real Madrid,4 - 0,Osasuna
7,06 - 08 Oct.,Mallorca,1 - 1,Valencia
7,06 - 08 Oct.,Sevilla,2 - 2,Rayo
7,06 - 08 Oct.,Villarreal,1 - 2,Las Palmas
