Jornada,Fecha,Equipo Local,Marcador,Equipo Visitante
Jornada 1,11 - 14 Ago.,Almería,0 - 2,Rayo
Jornada 1,11 - 14 Ago.,Sevilla,1 - 2,Valencia
Jornada 1,11 - 14 Ago.,R. Sociedad,1 - 1,Girona
Jornada 1,11 - 14 Ago.,Las Palmas,1 - 1,Mallorca
Jornada 1,11 - 14 Ago.,Athletic,0 - 2,Real Madrid
Jornada 1,11 - 14 Ago.,Celta,0 - 2,Osasuna
Jornada 1,11 - 14 Ago.,Villarreal,1 - 2,Betis
Jornada 1,11 - 14 Ago.,Getafe,0 - 0,Barcelona
Jornada 1,11 - 14 Ago.,Cádiz,1 - 0,Alavés
Jornada 1,11 - 14 Ago.,Atlético,3 - 1,Granada
Jornada 2,18 - 21 Ago.,Mallorca,0 - 1,Villarreal
Jornada 2,18 - 21 Ago.,Valencia,1 - 0,Las Palmas
Jornada 2,18 - 21 Ago.,R. Sociedad,1 - 1,Celta
Jornada 2,18 - 21 Ago.,Almería,1 - 3,Real Madrid
Jornada 2,18 - 21 Ago.,Osasuna,0 - 2,Athletic
Jornada 2,18 - 21 Ago.,Girona,3 - 0,Getafe
Jornada 2,18 - 21 Ago.,Barcelona,2 - 0,Cádiz
Jornada 2,18 - 21 Ago.,Betis,0 - 0,Atlético
Jornada 2,18 - 21 Ago.,Alavés,4 - 3,Sevilla
Jornada 2,18 - 21 Ago.,Granada,0 - 2,Rayo
Jornada 3,25 - 28 Ago.,Las Palmas,0 - 0,R. Sociedad
Jornada 3,25 - 28 Ago.,Celta,0 - 1,Real Madrid
Jornada 3,25 - 28 Ago.,Cádiz,1 - 1,Almería
Jornada 3,25 - 28 Ago.,Granada,3 - 2,Mallorca
Jornada 3,25 - 28 Ago.,Sevilla,1 - 2,Girona
Jornada 3,25 - 28 Ago.,Villarreal,3 - 4,Barcelona
Jornada 3,25 - 28 Ago.,Valencia,1 - 2,Osasuna
Jornada 3,25 - 28 Ago.,Athletic,4 - 2,Betis
Jornada 3,25 - 28 Ago.,Getafe,1 - 0,Alavés
Jornada 3,25 - 28 Ago.,Rayo,0 - 7,Atlético
Jornada 4,01 Sept. - 23 Dic.,Cádiz,3 - 1,Villarreal
Jornada 4,01 Sept. - 23 Dic.,Almería,2 - 3,Celta
Jornada 4,01 Sept. - 23 Dic.,R. Sociedad,5 - 3,Granada
Jornada 4,01 Sept. - 23 Dic.,Real Madrid,2 - 1,Getafe
Jornada 4,01 Sept. - 23 Dic.,Alavés,1 - 0,Valencia
Jornada 4,01 Sept. - 23 Dic.,Betis,1 - 0,Rayo
Jornada 4,01 Sept. - 23 Dic.,Girona,1 - 0,Las Palmas
Jornada 4,01 Sept. - 23 Dic.,Mallorca,0 - 0,Athletic
Jornada 4,01 Sept. - 23 Dic.,Osasuna,1 - 2,Barcelona
Jornada 4,01 Sept. - 23 Dic.,Atlético,1 - 0,Sevilla
Jornada 5,15 - 18 Sept.,Rayo,2 - 0,Alavés
Jornada 5,15 - 18 Sept.,Athletic,3 - 0,Cádiz
Jornada 5,15 - 18 Sept.,Valencia,3 - 0,Atlético
Jornada 5,15 - 18 Sept.,Celta,0 - 1,Mallorca
Jornada 5,15 - 18 Sept.,Barcelona,5 - 0,Betis
Jornada 5,15 - 18 Sept.,Getafe,3 - 2,Osasuna
Jornada 5,15 - 18 Sept.,Villarreal,2 - 1,Almería
Jornada 5,15 - 18 Sept.,Sevilla,1 - 0,Las Palmas
Jornada 5,15 - 18 Sept.,Real Madrid,2 - 1,R. Sociedad
Jornada 5,15 - 18 Sept.,Granada,2 - 4,Girona
Jornada 6,22 - 24 Sept.,Alavés,0 - 2,Athletic
Jornada 6,22 - 24 Sept.,Girona,5 - 3,Mallorca
Jornada 6,22 - 24 Sept.,Osasuna,0 - 0,Sevilla
Jornada 6,22 - 24 Sept.,Barcelona,3 - 2,Celta
Jornada 6,22 - 24 Sept.,Almería,2 - 2,Valencia
Jornada 6,22 - 24 Sept.,R. Sociedad,4 - 3,Getafe
