Equipo,Jugador,Lesion
Deportivo Alavés,Aleksandar Sedlar,Rotura del ligamento cruzado con rotura parcial del menisco interno
UD Almería,César Montes,Golpe en la rodilla
UD Almería,Arnau Puigmal,Lesión en la parte posterior del muslo derecho
UD Almería,Ibrahima Koné,Fractura en el tobillo derecho
Athletic Club,Ruiz de Galarreta,Molestias musculares
Athletic Club,Dani García,Recuperación de lesión muscular en el recto femoral de su pierna derecha
Athletic Club,Vesga,Molestias en la musculatura isquiosural de su pierna izquierda
Athletic Club,de Marcos,Lesión en el recto femoral de su pierna izquierda
Atlético de Madrid,Lemar,Rotura del tendón de Aquiles derecho
Atlético de Madrid,Azpilicueta,Rotura del menisco externo
FC Barcelona,Raphinha,Lesión muscular en el bíceps femoral del muslo izquierdo
FC Barcelona,Gavi,Rotura completa del ligamento cruzado anterior de la rodilla derecha y lesión asociada al menisco externo
FC Barcelona,Ter Stegen,Problemas lumbares
FC Barcelona,Iñigo Martínez,Lesión en el bíceps femoral de la pierna izquierda
FC Barcelona,Marcos Alonso,Operación de lumbalgia
Real Betis,Juan Miranda,Pinchazo en el gemelo
Real Betis,Carvalho,Molestia en los isquiotibiales
Real Betis,Ayoze Pérez,Esguince de ligamentos y sindesmosis anterolateral en el tobillo derecho.
Real Betis,Sabaly,Esguince grado II del ligamento lateral interno de la rodilla derecha
Real Betis,Bravo,Recuperación de lesión miotendinosa proximal de la musculatura isquiotibial izquierda
Real Betis,Ruibal,Edema en compartimento externo de la rodilla derecha asociado a una lesión meniscal externa
Real Betis,Guido Rodríguez,Fractura distal del peroné de su pierna derecha
Real Betis,Bartra,lesión parcial en el tendón de Aquiles
Cádiz CF,Roger,Fractura en el peroné y afectación de los ligamentos internos del tobillo
Cádiz CF,San Emeterio,Rotura del ligamento cruzado
Cádiz CF,Luis Hernández,Lesión en la rodilla
Cádiz CF,Javi Hernández,Lesión en el sóleo
Cádiz CF,Darwin Machís,Rotura en los isquiotibiales
RC Celta,Strand Larsen,Golpe
RC Celta,Franco Cervi,Rotura fibrilar bíceps femoral izquierdo
RC Celta,Aidoo,Rotura del tendón de Aquiles izquierdo
Getafe,Arambarri,Rotura parcial del menisco externo y ligamento cruzado anterior
Girona FC,Juanpe,Lesión en el sóleo
Girona FC,David López,Lesión en el músculo tibial de la pierna derecha
Girona FC,Joel Roca,Rotura de ligamentro cruzado y menisco
Girona FC,Toni Villa,Lesión de ligamento cruzado anterior
Granada CF,Jesús Vallejo,Molestias sin determinar
Granada CF,Kamil Piatkowski,Molestias musculares
Granada CF,Raúl Fernández,Lumbalgia
UD Las Palmas,Daley Sinkgraven,Esguince de tobillo
UD Las Palmas,Álvaro Lemos,Lesión en el tobillo
UD Las Palmas,Eric Curbelo,Molestias físicas
RCD Mallorca,Cuéllar,Molestias en la rodilla
RCD Mallorca,Maffeo,Lesión en el menisco interno de la rodilla derecha
C.A. Osasuna,Chimy Ávila,Molestias en el gemelo
Rayo Vallecano,Kike Pérez,Lesión muscular
Real Madrid,Courtois,Rotura del ligamento cruzado anterior de la rodilla izquierda
Real Madrid,Militão,Rotura del ligamento cruzado de la rodilla derecha
Real Madrid,David Alaba,Rotura del ligamento cruzado anterior de la rodilla izquierda
Real Sociedad,Zubimendi,Molestias físicas
Real Sociedad,Carlos Fernández,Molestias en la rodilla
Real Sociedad,Barrenetxea,Molestias sin determinar
Real Sociedad,Aihen Muñoz,Rotura de ligamento cruzado anterior
Real Sociedad,Merquelanz,Lesión osteocondral de la rodilla izquierda
Real Sociedad,Odriozola,Rotura fibrilar
Sevilla FC,Loïc Badé,Sobrecarga muscular
Sevilla FC,Acuña,Lesión de bajo grado en el muslo derecho
Sevilla FC,Dodi Lukébakio,Esguince de alto grado en el ligamento lateral interno de la rodilla derecha
Sevilla FC,Gudelj,Rotura de menisco externo en su rodilla izquierda
Sevilla FC,Kike Salas,Lesión miotendinosa en el isquiotibial derecho
Valencia CF,Alberto Mari,Molestias en el muslo
Valencia CF,Sergi Canós,Lesión de la parte posterior del muslo izquierdo
Valencia CF,André Almeida,Fractura con desplazamiento en una vértebra
Villarreal CF,Albiol,Lesión muscular
Villarreal CF,Pedraza,Esguince del tobillo derecho asociado a daño condral en articulación tibioastragalina
Villarreal CF,Ramón Terrats,Rotura en el menisco exterior
Villarreal CF,Foyth,Intervención quirúrgica en el hombro derecho
Villarreal CF,Denis Suárez,Rotura muscular con afectación del recto femoral de la pierna izquierda.
Villarreal CF,Parejo,Esguince del ligamento colateral interno de la rodilla derecha
Villarreal CF,Yéremy Pino,Rotura del ligamento cruzado anterior
