Nombre,Posicion,Puntos_Totales,Media,Subida_Bajada,Precio,puntos_ultima_jornada,puntos_penultima_jornada,puntos_antepenultima_jornada
J. Bellingham,Mediocentro,173,10.2,↑,24291000.0,12.0,3.0,4.0
T. Kubo,Mediocentro,147,8.2,↓,20815000.0,7.0,6.0,7.0
A. Griezmann,Delantero,144,7.6,↑,24418000.0,1.0,16.0,5.0
I. Williams,Delantero,139,7.7,↓,18194000.0,10.0,7.0,0.0
B. Mayoral,Delantero,138,7.3,↑,17078000.0,10.0,17.0,3.0
A. García,Mediocentro,137,7.2,↑,20791000.0,6.0,7.0,4.0
A. Dovbyk,Delantero,130,7.2,↑,17086000.0,16.0,9.0,5.0
Á. Valles,Portero,128,6.7,↑,16101000.0,9.0,10.0,4.0
Pepelu,Mediocentro,127,6.7,↑,15810000.0,7.0,5.0,16.0
A. Budimir,Delantero,127,6.7,↑,15667000.0,3.0,2.0,11.0
Isco,Mediocentro,126,7.0,↑,19707000.0,7.0,0.0,6.0
Sávio,Delantero,123,6.5,↑,18163000.0,6.0,6.0,9.0
M. Zubimendi,Mediocentro,122,6.4,↑,16767000.0,7.0,5.0,12.0
Rodrygo,Delantero,117,6.2,↑,19391000.0,12.0,4.0,2.0
Á. Morata,Delantero,116,6.4,↑,16749000.0,1.0,9.0,19.0
B. Zaragoza,Mediocentro,111,6.2,↑,11238000.0,4.0,2.0,14.0
K. Rodríguez,Mediocentro,110,6.1,↓,15196000.0,5.0,0.0,5.0
J. Strand Larsen,Delantero,110,5.8,↑,13045000.0,10.0,10.0,3.0
F. Valverde,Mediocentro,108,5.7,↑,20136000.0,7.0,6.0,6.0
T. Kroos,Mediocentro,108,5.7,↑,18157000.0,8.0,6.0,3.0
G. Guruzeta,Delantero,108,5.7,↑,14747000.0,12.0,2.0,3.0
C. Ramos,Delantero,105,5.5,-,10320000.0,11.0,6.0,3.0
G. Moreno,Delantero,104,6.5,↑,18415000.0,0.0,0.0,7.0
N. Williams,Mediocentro,103,6.4,↑,17879000.0,14.0,4.0,6.0
M. Oyarzabal,Delantero,103,5.7,↑,15131000.0,4.0,3.0,4.0
İ. Gündoğan,Mediocentro,102,5.4,↑,17889000.0,4.0,3.0,11.0
A. Remiro,Portero,100,5.3,↓,11760000.0,7.0,9.0,-8.0
U. Simón,Portero,100,5.3,↑,11046000.0,6.0,6.0,6.0
H. Duro,Delantero,100,5.3,↑,10651000.0,3.0,4.0,6.0
G. Mamardashvili,Portero,98,5.2,↑,10283000.0,8.0,6.0,5.0
B. Méndez,Mediocentro,97,5.7,↓,15004000.0,0.0,2.0,2.0
I. Martín,Mediocentro,97,5.4,↑,13294000.0,5.0,5.0,13.0
A. Pérez,Delantero,97,5.4,↓,12723000.0,5.0,4.0,2.0
S. Arribas,Mediocentro,96,5.1,↓,10901000.0,3.0,6.0,2.0
L. Rioja,Mediocentro,96,5.1,↑,10277000.0,2.0,4.0,8.0
F. Jörgensen,Portero,96,5.1,↓,10272000.0,4.0,5.0,4.0
D. Carvajal,Defensa,95,6.8,↑,15121000.0,0.0,0.0,4.0
Y. Couto,Defensa,95,5.3,↑,12438000.0,9.0,4.0,8.0
M. Gutiérrez,Defensa,93,5.2,↑,13177000.0,5.0,5.0,2.0
I. Palazón,Mediocentro,92,4.8,↑,13026000.0,5.0,5.0,5.0
Á. García,Mediocentro,91,5.4,↓,8882000.0,5.0,2.0,0.0
M. Roca,Mediocentro,90,5.0,↑,11407000.0,7.0,5.0,3.0
F. Lejeune,Defensa,90,4.7,↓,12002000.0,7.0,6.0,4.0
Ó. Mingueza,Defensa,90,4.7,↑,10442000.0,3.0,8.0,5.0
P. Rajković,Portero,90,4.7,↑,8576000.0,3.0,3.0,7.0
J. Oblak,Portero,89,4.7,↑,10900000.0,7.0,7.0,5.0
S. Costa,Mediocentro,89,4.7,↑,10032000.0,7.0,3.0,6.0
