Equipo,Jugador,Lesion
Deportivo Alavés,Sedlar,Rotura del ligamento cruzado con rotura parcial del menisco interno
Athletic Club,Desconocido,Desconocido
Atlético de Madrid,Desconocido,Desconocido
FC Barcelona,De Jong,Esguince en el tobillo derecho
FC Barcelona,Gavi,Rotura completa del ligamento cruzado anterior de la rodilla derecha y lesión asociada al menisco externo
FC Barcelona,Balde,Lesión en el tendón del isquiotibial del muslo derecho
Real Betis,Bakambu,Operación del recto anterior
RC Celta,Carles Pérez,Lesión en el tobillo
RC Celta,Aidoo,Rotura del tendón de Aquiles izquierdo
Getafe,Mayoral,Rotura en el menisco
Getafe,Arambarri,Rotura parcial del menisco externo
Getafe,Domingos Duarte,Molestias en el hombro
Getafe,Juan Iglesias,Operación en el hombro
Girona FC,Joel Roca,Rotura de ligamentro cruzado y menisco
UD Las Palmas,Desconocido,Desconocido
RCD Mallorca,Van Der Heyden,Molestias en la clavícula operada
C.A. Osasuna,Kike Barja,Lesión en el ligamento cruzado anterior
Rayo Vallecano,Desconocido,Desconocido
Real Madrid,David Alaba,Rotura del ligamento cruzado anterior de la rodilla izquierda
Real Sociedad,Aihen,Rotura de ligamento cruzado anterior
Real Sociedad,Merquelanz,Lesión osteocondral de la rodilla izquierda
Sevilla FC,Suso,Sobrecarga muscular
Sevilla FC,Isaac Romero,Lesión miotendinosa en los isquiotibiales del muslo derecho
Sevilla FC,Acuña,Lesión sin determinar
Sevilla FC,Óliver Torres,Artroscopia en el hombro
Sevilla FC,Erik Lamela,Esguince leve del ligamento lateral interno de su rodilla derecha
Sevilla FC,Sow,Fractura en el quinto metatarsiano del pie izquierdo
Valencia CF,Jesús Vázquez,Lesión del músculo aductor largo derecho
Valencia CF,Jaume Doménech,Lesión en el tendón del recto femoral del cuádriceps de la pierna derecha
Valencia CF,Gayà,Lesión del músculo recto femoral del cuádriceps de la pierna izquierda
Valencia CF,Diakhaby,Dislocación de rodilla
Villarreal CF,Foyth,Operación del hombro
Villarreal CF,Denis Suárez,Rotura muscular con afectación del recto femoral de la pierna izquierda.
